model,dataset,tone_level,n,accuracy,apology_rate,delib_rate,delib_count_mean,completion_tokens_mean,completion_tokens_median,words_mean,chars_mean,accuracy_se,apology_rate_se
gpt-4.1,gsm8k,L0,50,0.92,0.0,0.02,0.06,153.02,141.5,93.94,460.92,0.038366652186501746,0.0
gpt-4.1,gsm8k,L1,50,0.92,0.0,0.02,0.04,162.24,145.5,99.02,497.28,0.038366652186501746,0.0
gpt-4.1,gsm8k,L2,50,0.9,0.0,0.04,0.06,160.12,143.5,95.94,480.18,0.04242640687119285,0.0
gpt-4.1,gsm8k,L3,50,0.92,0.0,0.02,0.04,154.04,138.5,93.94,464.0,0.038366652186501746,0.0
gpt-4.1,gsm8k,L4,50,0.9,0.0,0.08,0.16,166.04,154.5,104.56,528.14,0.04242640687119285,0.0
gpt-4.1,gsm8k,L5,50,0.92,0.0,0.04,0.1,160.48,145.5,97.3,485.88,0.038366652186501746,0.0
gpt-4.1,mmlu_high_school_mathematics,L0,50,0.98,0.0,0.2,0.5,378.54,304.0,188.8,931.38,0.019798989873223337,0.0
gpt-4.1,mmlu_high_school_mathematics,L1,50,0.98,0.0,0.18,0.3,379.94,323.5,192.94,953.54,0.019798989873223337,0.0
gpt-4.1,mmlu_high_school_mathematics,L2,50,0.98,0.0,0.24,0.54,381.9,320.5,190.46,937.78,0.019798989873223337,0.0
gpt-4.1,mmlu_high_school_mathematics,L3,50,0.98,0.0,0.2,0.44,386.46,311.5,193.92,958.62,0.019798989873223337,0.0
gpt-4.1,mmlu_high_school_mathematics,L4,50,0.96,0.0,0.2,0.48,381.88,314.5,190.26,955.06,0.02771281292110205,0.0
gpt-4.1,mmlu_high_school_mathematics,L5,50,0.96,0.0,0.26,0.72,408.52,327.0,203.6,1005.2,0.02771281292110205,0.0
gpt-4.1,truthful_qa,L0,50,0.86,0.0,0.6,0.9,137.08,131.5,111.14,669.68,0.04907137658554119,0.0
gpt-4.1,truthful_qa,L1,50,0.82,0.0,0.68,1.24,184.66,181.5,148.1,884.66,0.054332310828824504,0.0
gpt-4.1,truthful_qa,L2,50,0.86,0.0,0.68,1.04,149.42,148.0,119.0,716.4,0.04907137658554119,0.0
gpt-4.1,truthful_qa,L3,50,0.82,0.0,0.7,1.3,171.38,166.0,137.9,828.9,0.054332310828824504,0.0
gpt-4.1,truthful_qa,L4,50,0.9,0.0,0.72,1.68,215.34,212.5,171.84,1027.34,0.04242640687119285,0.0
gpt-4.1,truthful_qa,L5,50,0.86,0.0,0.74,1.44,191.82,184.0,152.46,917.56,0.04907137658554119,0.0
gpt-4.1-mini,gsm8k,L0,200,0.96,0.0,0.02,0.02,139.21,122.5,91.55,443.51,0.013856406460551024,0.0
gpt-4.1-mini,gsm8k,L1,200,0.96,0.0,0.01,0.01,150.04,131.0,98.48,478.73,0.013856406460551024,0.0
gpt-4.1-mini,gsm8k,L2,200,0.94,0.0,0.05,0.09,153.03,133.5,101.5,496.67,0.01679285562374667,0.0
gpt-4.1-mini,gsm8k,L3,200,0.96,0.0,0.02,0.02,149.9,139.5,97.93,474.66,0.013856406460551024,0.0
gpt-4.1-mini,gsm8k,L4,200,0.94,0.0,0.04,0.06,148.08,132.5,96.88,469.64,0.01679285562374667,0.0
gpt-4.1-mini,gsm8k,L5,200,0.95,0.0,0.02,0.03,149.91,132.0,97.79,478.22,0.015411035007422448,0.0
gpt-4.1-mini,mmlu_high_school_mathematics,L0,100,0.93,0.0,0.14,0.16,401.12,324.5,202.59,1007.25,0.02551470164434614,0.0
gpt-4.1-mini,mmlu_high_school_mathematics,L1,100,0.9,0.0,0.14,0.26,422.35,327.5,217.94,1079.69,0.03,0.0
gpt-4.1-mini,mmlu_high_school_mathematics,L2,100,0.9,0.0,0.11,0.17,419.36,333.5,212.35,1065.05,0.03,0.0
gpt-4.1-mini,mmlu_high_school_mathematics,L3,100,0.89,0.0,0.16,0.24,415.5,323.0,212.63,1059.55,0.031288975694324025,0.0
gpt-4.1-mini,mmlu_high_school_mathematics,L4,100,0.94,0.0,0.15,0.2,410.83,311.5,211.21,1053.31,0.023748684174075843,0.0
gpt-4.1-mini,mmlu_high_school_mathematics,L5,100,0.93,0.0,0.15,0.25,394.5,289.5,203.7,999.98,0.02551470164434614,0.0
gpt-4.1-mini,truthful_qa,L0,200,0.72,0.0,0.61,1.37,165.73,143.5,133.99,820.08,0.03174901573277509,0.0
gpt-4.1-mini,truthful_qa,L1,200,0.75,0.0,0.73,1.66,197.79,197.5,159.28,961.26,0.030618621784789725,0.0
gpt-4.1-mini,truthful_qa,L2,200,0.75,0.0,0.74,1.66,198.58,195.5,158.74,958.28,0.030618621784789725,0.0
gpt-4.1-mini,truthful_qa,L3,200,0.75,0.0,0.71,1.5,194.3,181.0,156.35,938.94,0.030618621784789725,0.0
gpt-4.1-mini,truthful_qa,L4,200,0.75,0.0,0.77,1.89,224.93,218.0,179.17,1084.35,0.030618621784789725,0.0
gpt-4.1-mini,truthful_qa,L5,200,0.76,0.0,0.68,1.51,184.33,182.0,148.54,894.58,0.030199337741083,0.0
