model,dataset,tone_level,n,acc,ci_lo,ci_hi
gpt-4.1,gsm8k,L0,50,0.92,0.84,0.98
gpt-4.1,gsm8k,L1,50,0.92,0.84,0.98
gpt-4.1,gsm8k,L2,50,0.9,0.82,0.98
gpt-4.1,gsm8k,L3,50,0.92,0.84,0.98
gpt-4.1,gsm8k,L4,50,0.9,0.82,0.98
gpt-4.1,gsm8k,L5,50,0.92,0.84,0.98
gpt-4.1,mmlu_high_school_mathematics,L0,50,0.98,0.94,1.0
gpt-4.1,mmlu_high_school_mathematics,L1,50,0.98,0.94,1.0
gpt-4.1,mmlu_high_school_mathematics,L2,50,0.98,0.94,1.0
gpt-4.1,mmlu_high_school_mathematics,L3,50,0.98,0.94,1.0
gpt-4.1,mmlu_high_school_mathematics,L4,50,0.96,0.9,1.0
gpt-4.1,mmlu_high_school_mathematics,L5,50,0.96,0.9,1.0
gpt-4.1,truthful_qa,L0,50,0.86,0.76,0.94
gpt-4.1,truthful_qa,L1,50,0.82,0.7,0.92
gpt-4.1,truthful_qa,L2,50,0.86,0.76,0.94
gpt-4.1,truthful_qa,L3,50,0.82,0.7,0.92
gpt-4.1,truthful_qa,L4,50,0.9,0.8,0.98
gpt-4.1,truthful_qa,L5,50,0.86,0.76,0.94
gpt-4.1-mini,gsm8k,L0,200,0.96,0.93,0.985
gpt-4.1-mini,gsm8k,L1,200,0.96,0.93,0.985
gpt-4.1-mini,gsm8k,L2,200,0.94,0.905,0.97
gpt-4.1-mini,gsm8k,L3,200,0.96,0.93,0.985
gpt-4.1-mini,gsm8k,L4,200,0.94,0.905,0.97
gpt-4.1-mini,gsm8k,L5,200,0.95,0.92,0.98
gpt-4.1-mini,mmlu_high_school_mathematics,L0,100,0.93,0.87,0.98
gpt-4.1-mini,mmlu_high_school_mathematics,L1,100,0.9,0.84,0.95
gpt-4.1-mini,mmlu_high_school_mathematics,L2,100,0.9,0.84,0.95
gpt-4.1-mini,mmlu_high_school_mathematics,L3,100,0.89,0.83,0.95
gpt-4.1-mini,mmlu_high_school_mathematics,L4,100,0.94,0.89,0.98
gpt-4.1-mini,mmlu_high_school_mathematics,L5,100,0.93,0.88,0.98
gpt-4.1-mini,truthful_qa,L0,200,0.72,0.66,0.78
gpt-4.1-mini,truthful_qa,L1,200,0.75,0.69,0.81
gpt-4.1-mini,truthful_qa,L2,200,0.75,0.69,0.805
gpt-4.1-mini,truthful_qa,L3,200,0.75,0.69,0.81
gpt-4.1-mini,truthful_qa,L4,200,0.75,0.69,0.81
gpt-4.1-mini,truthful_qa,L5,200,0.76,0.7,0.82
