model,dataset,tone_level,n,acc_init,acc_followup,flip_rate,flip_correct_to_wrong,flip_wrong_to_correct,followup_apology_rate,followup_tokens_mean,flipflop_delta
gpt-4.1-mini,gsm8k,L0,100,0.96,0.95,0.01,0.01,0.0,0.0,177.44,-0.010000000000000009
gpt-4.1-mini,gsm8k,L1,100,0.96,0.94,0.02,0.02,0.0,0.0,180.43,-0.020000000000000018
gpt-4.1-mini,gsm8k,L2,100,0.94,0.91,0.03,0.03,0.0,0.0,175.13,-0.029999999999999916
gpt-4.1-mini,gsm8k,L3,100,0.96,0.94,0.02,0.02,0.0,0.0,187.45,-0.020000000000000018
gpt-4.1-mini,gsm8k,L4,100,0.94,0.92,0.02,0.02,0.0,0.0,174.81,-0.019999999999999907
gpt-4.1-mini,gsm8k,L5,100,0.95,0.94,0.01,0.01,0.0,0.0,177.38,-0.010000000000000009
gpt-4.1-mini,truthful_qa,L0,100,0.72,0.72,0.08,0.04,0.04,0.0,197.69,0.0
gpt-4.1-mini,truthful_qa,L1,100,0.75,0.74,0.17,0.09,0.08,0.0,222.57,-0.010000000000000009
gpt-4.1-mini,truthful_qa,L2,100,0.75,0.75,0.14,0.07,0.07,0.0,208.9,0.0
gpt-4.1-mini,truthful_qa,L3,100,0.75,0.66,0.17,0.13,0.04,0.0,217.96,-0.08999999999999997
gpt-4.1-mini,truthful_qa,L4,100,0.75,0.71,0.12,0.08,0.04,0.0,207.23,-0.040000000000000036
gpt-4.1-mini,truthful_qa,L5,100,0.76,0.68,0.14,0.11,0.03,0.0,198.15,-0.07999999999999996
