model,dataset,tone_level,n,tokens_mean,tokens_median,tokens_ci_lo,tokens_ci_hi
gpt-4.1,gsm8k,L0,50,153.02,141.5,134.0995,175.04149999999996
gpt-4.1,gsm8k,L1,50,162.24,145.5,142.07950000000002,185.36449999999994
gpt-4.1,gsm8k,L2,50,160.12,143.5,141.5585,182.20249999999996
gpt-4.1,gsm8k,L3,50,154.04,138.5,135.48,174.42099999999996
gpt-4.1,gsm8k,L4,50,166.04,154.5,145.719,188.48049999999998
gpt-4.1,gsm8k,L5,50,160.48,145.5,141.63799999999998,182.50099999999998
gpt-4.1,mmlu_high_school_mathematics,L0,50,378.54,304.0,316.7995,443.8429999999999
gpt-4.1,mmlu_high_school_mathematics,L1,50,379.94,323.5,325.57599999999996,440.52399999999994
gpt-4.1,mmlu_high_school_mathematics,L2,50,381.9,320.5,323.5745,445.52149999999995
gpt-4.1,mmlu_high_school_mathematics,L3,50,386.46,311.5,325.39849999999996,452.72299999999996
gpt-4.1,mmlu_high_school_mathematics,L4,50,381.88,314.5,323.459,446.40199999999993
gpt-4.1,mmlu_high_school_mathematics,L5,50,408.52,327.0,349.256,476.30199999999996
gpt-4.1,truthful_qa,L0,50,137.08,131.5,122.4795,152.8
gpt-4.1,truthful_qa,L1,50,184.66,181.5,170.859,199.10049999999998
gpt-4.1,truthful_qa,L2,50,149.42,148.0,134.83950000000002,164.86
gpt-4.1,truthful_qa,L3,50,171.38,166.0,155.28,187.7
gpt-4.1,truthful_qa,L4,50,215.34,212.5,198.1995,232.78
gpt-4.1,truthful_qa,L5,50,191.82,184.0,173.039,211.22
gpt-4.1-mini,gsm8k,L0,200,139.21,122.5,130.75437499999998,147.772
gpt-4.1-mini,gsm8k,L1,200,150.04,131.0,141.10987500000002,159.295
gpt-4.1-mini,gsm8k,L2,200,153.03,133.5,142.144125,165.34149999999997
gpt-4.1-mini,gsm8k,L3,200,149.9,139.5,141.23,158.940125
gpt-4.1-mini,gsm8k,L4,200,148.08,132.5,138.56425,158.35549999999998
gpt-4.1-mini,gsm8k,L5,200,149.91,132.0,140.52450000000002,159.745375
gpt-4.1-mini,mmlu_high_school_mathematics,L0,100,401.12,324.5,351.61775,453.90024999999997
gpt-4.1-mini,mmlu_high_school_mathematics,L1,100,422.35,327.5,370.72675000000004,477.10299999999995
gpt-4.1-mini,mmlu_high_school_mathematics,L2,100,419.36,333.5,367.249,475.73274999999995
gpt-4.1-mini,mmlu_high_school_mathematics,L3,100,415.5,323.0,365.1795,469.8062499999999
gpt-4.1-mini,mmlu_high_school_mathematics,L4,100,410.83,311.5,362.81874999999997,462.07025
gpt-4.1-mini,mmlu_high_school_mathematics,L5,100,394.5,289.5,343.36625,448.8545
gpt-4.1-mini,truthful_qa,L0,200,165.73,143.5,154.94875,177.09137499999997
gpt-4.1-mini,truthful_qa,L1,200,197.79,197.5,186.59,209.015
gpt-4.1-mini,truthful_qa,L2,200,198.58,195.5,187.128625,210.520375
gpt-4.1-mini,truthful_qa,L3,200,194.3,181.0,183.175,206.13524999999998
gpt-4.1-mini,truthful_qa,L4,200,224.93,218.0,215.138375,234.490125
gpt-4.1-mini,truthful_qa,L5,200,184.33,182.0,174.684375,194.15525
